127.0.0.1 - - [09/Apr/2022:13:53:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:09:22 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:11:02 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:12:05 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:12:30 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:14:19 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:14:53 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:15:53 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:18:37 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2577
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:20:00 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:20:28 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:20:29 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:22:14 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:22:55 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2532
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:22:55 +0530] "GET /style.css HTTP/1.1" 404 1012
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:23:08 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:27:03 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2542
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:27:36 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2605
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:28:17 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2626
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:28:18 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:31:02 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:32:43 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:33:15 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:33:16 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:33:41 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:36:07 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:36:08 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:37:05 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:40:08 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:41:13 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:46:15 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2991
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:48:08 +0530] "GET /Medicare/page.html HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:52:18 +0530] "GET /Medicare/page.html HTTP/1.1" 200 3238
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:53:47 +0530] "GET /Medicare/page.html HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:53:48 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:16:02:37 +0530] "GET /Medicare/page.jsp HTTP/1.1" 200 3219
